13e437e43fd8c8fb28ac2c21cccf0afe2d997e30c9cce29c1e615041dce68a28	510765	libmagic-5.46-r2.apk	libmagic	5.46-r2	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/libmagic-5.46-r2.apk
7beb10bf0099d5d2833bf0918cf383b2fbfc51669598d36e8978687fe5bf52a4	641405	libpq-dev-18.6-r0.apk	libpq-dev	18.6-r0	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/libpq-dev-18.6-r0.apk
366ac9c28a37c7e26fca0f59b32c463a26aa8d0ba031c64fa32e526e8390880d	54388	libpsl-0.21.5-r3.apk	libpsl	0.21.5-r3	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/libpsl-0.21.5-r3.apk
a366a1a3cf8fd2958c7f08a6a023418d0742a01600c2646430fbc7e292e6d5b5	4135602	libstdc++-dev-15.2.0-r2.apk	libstdc++-dev	15.2.0-r2	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/libstdc++-dev-15.2.0-r2.apk
759f00f19db057afad2036626ea175427ba4e9d915b500b3c0f174460df84aab	752199	libunistring-1.4.1-r0.apk	libunistring	1.4.1-r0	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/libunistring-1.4.1-r0.apk
93d80ab834615061f57b1331e443d97ad4b0a1892d52518737ff43d938b5eaaa	47739893	llvm16-16.0.6-r14.apk	llvm16	16.0.6-r14	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/llvm16-16.0.6-r14.apk
92727ea02e7449c2b88e5f2160677f1bdf5bd5b575fe3c98e3caefca2f0296eb	82623	llvm16-linker-tools-16.0.6-r14.apk	llvm16-linker-tools	16.0.6-r14	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/llvm16-linker-tools-16.0.6-r14.apk
f15c25dc0e71ba5577092279fd35b2ba1f46bb1d6344ddc8a41107df143da20b	32676	lz4-dev-1.10.0-r0.apk	lz4-dev	1.10.0-r0	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/lz4-dev-1.10.0-r0.apk
bec621c09aea22320d0f4bd581d173c6b82df4c05f071926994bc31d6c24e9e8	116066	make-4.4.1-r4.apk	make	4.4.1-r4	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/make-4.4.1-r4.apk
0466ec3defca461fd296bf9619a93be1d4abc9d030b01449abdba7566ceaa83a	48163	mpc1-1.3.1-r1.apk	mpc1	1.3.1-r1	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/mpc1-1.3.1-r1.apk
08e993902d7c11484cef833249636db4f52534027fccfc88a95ce7df41db0051	312188	mpfr4-4.2.2-r0.apk	mpfr4	4.2.2-r0	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/mpfr4-4.2.2-r0.apk
a1e5371601e3e75b88185795ef2f897a55a534cfba6bffc2731bb24975c50c9b	3414838	musl-dev-1.2.5-r23.apk	musl-dev	1.2.5-r23	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/musl-dev-1.2.5-r23.apk
6adf263445434ba884feb809d50276cbd6b26f543cc45cf0b1eba7eefb8eb222	63656	nghttp2-libs-1.70.0-r0.apk	nghttp2-libs	1.70.0-r0	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/nghttp2-libs-1.70.0-r0.apk
d411b76aadaa82820e275df6e87ed134a3356f8abe22971e5d73635695e28dfe	366513	openssl-dev-3.5.8-r1.apk	openssl-dev	3.5.8-r1	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/openssl-dev-3.5.8-r1.apk
2f8fad0e362bd02774f9d70c0b8f529be47e3f4a35fb616e23659e5adf0c0168	69306	patch-2.8-r0.apk	patch	2.8-r0	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/patch-2.8-r0.apk
93a3b5d870df08b07f1f60b178456dbc38cef2a2fc95461b09e635aabcfe0d8a	53959	pkgconf-2.5.1-r0.apk	pkgconf	2.5.1-r0	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/pkgconf-2.5.1-r0.apk
391e60692c72649174e54b9d2f30cfaa405b229c62f8c50c444f5795a64d06c1	1886186	postgresql15-dev-15.19-r0.apk	postgresql15-dev	15.19-r0	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/postgresql15-dev-15.19-r0.apk
b8bdc53f39bd46afd533e0f30a44786274c2fe89ac88f07b56a07824eaaf2f00	129749	zstd-1.5.7-r2.apk	zstd	1.5.7-r2	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/zstd-1.5.7-r2.apk
edf2638c7e3fa703baa144dcd716d02bddd8d2590a758423c65539f1472f70da	54709	zstd-dev-1.5.7-r2.apk	zstd-dev	1.5.7-r2	x86_64	https://dhi.io/apk/alpine/v3.23/main/x86_64/zstd-dev-1.5.7-r2.apk
